 ,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
列印日期：,,2016/5/2,,資料期間：,,2016年1月至2016年3月(Data for 2016/1∼2016/3),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"587,321",72.60%,"4,844","2,844,973,879","3,504,681,153","7,199,658,010","9,235","16,005","5,446","2,402","33,088",,,,,,
臺北地區 Taipei,一般Standard,"170,098",79.75%,"3,922","667,176,614","669,032,226","1,534,371,394","2,300","2,947","1,131",856,"7,234",,,,,,
臺北地區 Taipei,小計SubTotal,"757,419",74.09%,"4,637","3,512,150,493","4,173,713,379","8,734,029,404","11,535","18,952","6,577","3,258","40,322",,,,,,
高雄地區 Kaohsiung,國際Internation,"185,546",70.58%,"2,596","481,658,595","725,928,853","1,339,107,605","2,538","3,850","1,032","1,057","8,477",,,,,,
高雄地區 Kaohsiung,一般Standard,"11,858",52.12%,"2,308","27,365,636","16,110,848","43,925,375",124,124,16,21,285,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"197,404",69.11%,"2,579","509,024,231","742,039,701","1,383,032,980","2,662","3,974","1,048","1,078","8,762",,,,,,
臺中地區 Taichung,國際Internation,"62,447",60.35%,"2,742","171,207,950","288,556,879","541,897,813","1,171","1,874",615,394,"4,054",,,,,,
臺中地區 Taichung,一般Standard,"22,620",71.22%,"2,540","57,455,662","96,788,347","170,307,616",280,619,117,118,"1,134",,,,,,
臺中地區 Taichung,小計SubTotal,"85,067",62.91%,"2,688","228,663,612","385,345,226","712,205,429","1,451","2,493",732,512,"5,188",,,,,,
花蓮地區 Hualien,國際Internation,"66,491",53.80%,"2,534","168,466,220","137,267,708","325,668,664",846,"1,128",321,477,"2,772",,,,,,
花蓮地區 Hualien,小計SubTotal,"66,491",53.80%,"2,534","168,466,220","137,267,708","325,668,664",846,"1,128",321,477,"2,772",,,,,,
風景區 Scenic Area,國際Internation,"120,555",68.32%,"5,614","676,749,865","346,722,984","1,121,882,539","1,992","2,246","1,004","1,523","6,765",,,,,,
風景區 Scenic Area,一般Standard,"21,018",39.25%,"4,066","85,460,315","44,184,055","135,928,801",365,375,185,187,"1,112",,,,,,
風景區 Scenic Area,小計SubTotal,"141,573",61.56%,"5,384","762,210,180","390,907,039","1,257,811,340","2,357","2,621","1,189","1,710","7,877",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"145,434",81.54%,"2,834","412,093,581","413,491,062","933,089,375","1,512","2,465",726,556,"5,259",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"76,499",60.22%,"2,565","196,224,938","197,637,544","415,361,183",810,"1,230",255,333,"2,628",,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"221,933",72.67%,"2,741","608,318,519","611,128,606","1,348,450,558","2,322","3,695",981,889,"7,887",,,,,,
其他地區 Other,國際Internation,"155,653",54.63%,"4,277","665,734,246","700,603,460","1,564,296,985","2,678","4,374","1,698","1,346","10,096",,,,,,
其他地區 Other,一般Standard,"52,111",49.65%,"2,692","140,285,666","82,936,535","241,275,511",749,711,292,130,"1,882",,,,,,
其他地區 Other,小計SubTotal,"207,764",53.29%,"3,879","806,019,912","783,539,995","1,805,572,496","3,427","5,085","1,990","1,476","11,978",,,,,,
,總計 Total,"1,677,651",67.32%,3931,"6,594,853,167","7,223,941,654","15,566,770,871","24,600","37,948","12,838","9,400","84,786",,,,,,
,,,,,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Kind,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
國際Internation,"63,917","1,323,447",68.27%,4096,"5,420,884,336","6,117,252,099","13,025,600,991","19,972","31,942","10,842","7,755","70,511",,,,,,
一般Standard,"18,245","354,204",64.01%,3314,"1,173,968,831","1,106,689,555","2,541,169,880","4,628","6,006","1,996","1,645","14,275",,,,,,
小計SubTotal,"82,162","1,677,651",67.32%,3931,"6,594,853,167","7,223,941,654","15,566,770,871","24,600","37,948","12,838","9,400","84,786",,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,臺北地區 Taipei,,資料期間：,,2016年1月至2016年3月(Data for 2016/1∼2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
圓山大飯店,"1,500","31,387",68.98%,"3,818","119,845,790","163,870,678","318,844,754",402,701,374,172,"1,649",,,,,,
The Grand Hotel,,,,,,,,,,,,,,,,,,
國賓大飯店,"1,266","28,645",74.59%,"3,884","111,271,268","314,779,179","456,153,452",415,956,109,207,"1,687",,,,,,
The Ambassador Hotel,,,,,,,,,,,,,,,,,,
台北華國大飯店,978,"24,182",81.51%,"3,297","79,721,636","44,547,724","132,050,676",233,227,12,125,597,,,,,,
Imperial Hotel Taipei,,,,,,,,,,,,,,,,,,
華泰王子大飯店,635,"15,707",81.51%,"3,068","48,189,331","47,637,191","103,239,417",251,362,234,23,870,,,,,,
Gloria Prince Hotel,,,,,,,,,,,,,,,,,,
國王大飯店,294,"7,087",79.47%,"1,731","12,268,071","2,879,380","15,448,256",97,42,63,0,202,,,,,,
Emperor Hotel,,,,,,,,,,,,,,,,,,
豪景大酒店,636,"15,923",82.54%,"2,529","40,271,988","8,524,071","49,631,464",181,62,53,0,296,,,,,,
Hotel Riverview Taipei,,,,,,,,,,,,,,,,,,
台北凱撒大飯店,"1,434","40,266",92.57%,"3,798","152,910,935","84,340,122","251,153,646",264,347,73,151,835,,,,,,
Caesar Park Taipei,,,,,,,,,,,,,,,,,,
康華大飯店,645,"14,783",75.56%,"3,117","46,076,636","41,557,929","91,247,411",186,265,108,0,559,,,,,,
Golden China Hotel,,,,,,,,,,,,,,,,,,
神旺大飯店,804,"23,494",96.33%,"3,056","71,793,565","108,312,169","196,266,749",281,736,182,0,"1,199",,,,,,
San Want Hotel,,,,,,,,,,,,,,,,,,
兄弟大飯店,750,"11,139",48.96%,"3,138","34,949,363","152,225,386","200,470,578",330,885,216,39,"1,470",,,,,,
Brother Hotel,,,,,,,,,,,,,,,,,,
三德大飯店,861,"22,572",86.43%,"2,220","50,099,387","35,653,009","88,438,659",238,223,15,119,595,,,,,,
Santos Hotel,,,,,,,,,,,,,,,,,,
亞都麗緻大飯店,627,"15,017",78.96%,"4,720","70,887,436","54,023,637","141,751,583",218,329,105,134,786,,,,,,
The Landis Taipei Hotel,,,,,,,,,,,,,,,,,,
國聯大飯店,729,"16,501",74.62%,"2,479","40,904,051","12,698,479","59,380,068",182,88,18,123,411,,,,,,
United Hotel,,,,,,,,,,,,,,,,,,
台北寒舍喜來登大飯店,"2,064","42,469",67.83%,"5,938","252,171,075","359,207,309","684,914,554",648,"1,331",687,132,"2,798",,,,,,
Sheraton Grande Taipei Hotel,,,,,,,,,,,,,,,,,,
老爺大酒店,606,"16,381",89.11%,"4,801","78,644,641","90,452,605","190,446,288",228,447,72,138,885,,,,,,
Hotel Royal-Nikko Taipei,,,,,,,,,,,,,,,,,,
福華大飯店,"1,818","37,078",67.24%,"4,409","163,481,000","169,423,000","396,876,000",692,"1,097",226,237,"2,252",,,,,,
Howard Plaza Hotel,,,,,,,,,,,,,,,,,,
台北君悅酒店,"2,559","52,089",67.11%,"6,235","324,783,610","281,839,135","683,164,637",434,"1,061",539,245,"2,279",,,,,,
Grand Hyatt Taipei,,,,,,,,,,,,,,,,,,
晶華酒店,"1,614","36,848",75.26%,"6,141","226,280,335","458,723,915","869,307,428",884,"1,748",515,61,"3,208",,,,,,
The Regent Taipei,,,,,,,,,,,,,,,,,,
西華大飯店,"1,029","23,349",74.81%,"5,317","124,149,520","96,832,739","249,257,081",446,761,172,231,"1,610",,,,,,
The Sherwood Hotel Taipei,,,,,,,,,,,,,,,,,,
台北萬豪酒店,954,"13,470",46.55%,"6,208","83,620,053","127,155,213","253,236,125",360,540,259,0,"1,159",,,,,,
Taipei Marriott Hotel,,,,,,,,,,,,,,,,,,
台北美福大飯店,438,248,1.87%,"9,878","2,449,692","54,104,813","62,489,360",166,625,108,13,912,,,,,,
Grand Mayfull Hotel Taipei,,,,,,,,,,,,,,,,,,
遠東國際大飯店,"1,260","23,517",61.53%,"6,539","153,775,287","191,283,835","397,519,830",498,714,209,252,"1,673",,,,,,
"Shangri-La's Far Eastern Plaza Hotel, Taipei",,,,,,,,,,,,,,,,,,
台北威斯汀六福皇宮,864,"19,824",75.64%,"6,560","130,049,049","210,810,692","375,624,875",435,936,408,0,"1,779",,,,,,
The Westin Taipei,,,,,,,,,,,,,,,,,,
美麗信花園酒店,609,"15,203",82.30%,"2,518","38,276,247","19,930,010","78,762,130",247,174,106,0,527,,,,,,
Miramar Garden Taipei,,,,,,,,,,,,,,,,,,
台北寒舍艾美酒店,480,"11,200",76.92%,"9,317","104,352,176","193,356,804","332,276,651",329,683,276,0,"1,288",,,,,,
Le Meridien Taipei Hotel,,,,,,,,,,,,,,,,,,
台北W飯店,"1,215","28,942",78.53%,"9,804","283,751,737","180,512,129","521,706,338",590,665,307,0,"1,562",,,,,,
W Taipei,,,,,,,,,,,,,,,,,,
亞士都飯店,120,"2,510",68.96%,"2,590","6,500,396",0,"6,500,396",42,0,21,0,63,,,,,,
Astar Hotel,,,,,,,,,,,,,,,,,,
第一大飯店,528,"13,519",84.41%,"1,980","26,761,242","7,499,719","86,698,798",43,0,48,39,130,,,,,,
First Hotel,,,,,,,,,,,,,,,,,,
六福客棧,678,"17,764",86.38%,"1,659","29,462,585","33,159,629","65,962,926",102,252,28,51,433,,,,,,
The Leofoo Hotel,,,,,,,,,,,,,,,,,,
帝后大飯店,204,"3,948",63.80%,"1,615","6,376,747","155,042","6,531,789",48,12,12,0,72,,,,,,
Empress Hotel,,,,,,,,,,,,,,,,,,
華華大飯店,224,"4,716",70.18%,"1,672","7,886,669",0,"8,160,739",48,0,40,24,112,,,,,,
Hotel Flowers,,,,,,,,,,,,,,,,,,
北投老爺酒店,150,"2,980",65.49%,"7,269","21,661,236","8,557,840","34,676,472",62,89,6,142,299,,,,,,
Hotel Royal Beitou,,,,,,,,,,,,,,,,,,
台北有園飯店,168,"2,972",58.32%,"3,155","9,377,265","1,567,845","11,168,275",32,23,25,9,89,,,,,,
U HOTEL TAIPEI,,,,,,,,,,,,,,,,,,
歐華酒店,336,"7,152",70.17%,"3,317","23,726,286","19,502,288","48,046,748",140,151,92,0,383,,,,,,
The Riviera Hotel,,,,,,,,,,,,,,,,,,
慶泰大飯店,450,"11,130",81.54%,"3,103","34,541,734","25,755,681","62,246,552",94,194,84,41,413,,,,,,
Gala Hotel,,,,,,,,,,,,,,,,,,
天成大飯店,675,"19,786",96.63%,"3,257","64,435,330","119,761,676","196,986,319",283,278,62,117,740,,,,,,
Cosmos Hotel TAIPEI,,,,,,,,,,,,,,,,,,
福容大飯店 台北一館,360,"6,308",57.77%,"3,768","23,768,029","42,975,842","72,059,880",132,236,30,49,447,,,,,,
"Fullon Hotel Taipei,Central",,,,,,,,,,,,,,,,,,
首都大飯店,387,"9,384",79.94%,"4,108","38,553,640","18,383,882","60,691,594",90,133,45,67,335,,,,,,
Capital Hotel,,,,,,,,,,,,,,,,,,
台北君品大酒店,858,"21,614",83.05%,"5,125","110,773,860","155,589,880","281,395,609",378,525,199,0,"1,102",,,,,,
Palais De Chine Hotel Taipei,,,,,,,,,,,,,,,,,,
台北花園大酒店,723,"20,029",91.33%,"2,537","50,813,114","82,372,418","149,851,294",192,320,84,73,669,,,,,,
Taipei Garden Hotel,,,,,,,,,,,,,,,,,,
日勝生加賀屋國際溫泉飯店,270,"4,781",58.38%,"9,767","46,694,263","38,545,940","111,356,380",254,170,93,37,554,,,,,,
Radium-Kagaya,,,,,,,,,,,,,,,,,,
北投麗禧溫泉酒店,198,"4,099",68.25%,"14,539","59,594,870","29,618,185","120,682,493",109,220,11,207,547,,,,,,
Grand View Resort,,,,,,,,,,,,,,,,,,
寒舍艾麗酒店,705,"17,406",81.39%,"6,104","106,249,348","85,586,359","211,355,130",251,344,251,0,846,,,,,,
Humble House Hotel Taipei,,,,,,,,,,,,,,,,,,
總計,"33,703","757,419",74.09%,"4,637","3,512,150,493","4,173,713,379","8,734,029,404","11,535","18,952","6,577","3,258","40,322",,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,高雄地區 Kaohsiung,,資料期間：,,2016年1月至2016年3月(Data for 2016/1∼2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
華王大飯店,891,"12,914",47.78%,"1,784","23,036,306","13,072,979","36,497,575",109,79,115,6,309,,,,,,
Hotel Kingdom,,,,,,,,,,,,,,,,,,
華園大飯店,807,"15,384",62.85%,"2,124","32,680,792","16,749,353","50,781,158",124,152,113,0,389,,,,,,
Hotel Holiday Garden Kaohsiung,,,,,,,,,,,,,,,,,,
高雄國賓大飯店,"1,359","31,904",77.39%,"2,257","72,007,569","127,877,601","207,867,625",451,521,49,127,"1,148",,,,,,
The Ambassador Hotel Kaohsiung,,,,,,,,,,,,,,,,,,
漢來大飯店,"1,308","31,415",79.18%,"3,985","125,202,198","238,711,331","428,286,268",527,"1,388",24,592,"2,531",,,,,,
Grand Hi-Lai Hotel,,,,,,,,,,,,,,,,,,
高雄福華大飯店,813,"20,162",81.76%,"2,402","48,427,000","66,400,000","125,579,000",291,391,105,66,853,,,,,,
Howard Plaza Hotel Kaohsiung,,,,,,,,,,,,,,,,,,
君鴻國際酒店,"1,755","35,136",66.00%,"2,587","90,889,497","111,816,011","237,398,806",483,581,491,90,"1,645",,,,,,
85 SKY TOWER HOTEL,,,,,,,,,,,,,,,,,,
寒軒國際大飯店,"1,140","24,073",69.62%,"2,255","54,286,981","81,513,029","141,007,071",358,417,102,95,972,,,,,,
Han-Hsien lnternational Hotel,,,,,,,,,,,,,,,,,,
麗尊大酒店,594,"14,558",80.80%,"2,413","35,128,252","69,788,549","111,690,102",195,321,33,81,630,,,,,,
The Lees Hotel,,,,,,,,,,,,,,,,,,
福容大飯店 高雄,750,"11,858",52.12%,"2,308","27,365,636","16,110,848","43,925,375",124,124,16,21,285,,,,,,
Fullon Hotel Kaohsiung,,,,,,,,,,,,,,,,,,
總計,"9,417","197,404",69.11%,"2,579","509,024,231","742,039,701","1,383,032,980","2,662","3,974","1,048","1,078","8,762",,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,臺中地區 Taichung,,資料期間：,,2016年1月至2016年3月(Data for 2016/1∼2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
全國大飯店,534,"9,753",60.21%,"2,338","22,807,342","58,700,869","91,925,502",161,435,73,73,742,,,,,,
Hotel National,,,,,,,,,,,,,,,,,,
通豪大飯店,684,"5,728",27.61%,"2,357","13,502,792","33,643,795","49,363,335",146,391,111,14,662,,,,,,
Plaza International Hotel,,,,,,,,,,,,,,,,,,
長榮桂冠酒店(台中),"1,062","22,320",69.29%,"2,663","59,439,191","81,671,652","158,649,368",253,371,177,0,801,,,,,,
Evergreen Laurel Hotel (Taichung),,,,,,,,,,,,,,,,,,
台中福華大飯店,465,"9,363",66.38%,"2,946","27,580,693","46,670,312","82,641,586",138,301,56,90,585,,,,,,
Howard Prince Hotel Taichung,,,,,,,,,,,,,,,,,,
台中金典酒店,666,"15,283",75.65%,"3,133","47,877,932","67,870,251","159,318,022",473,376,198,217,"1,264",,,,,,
The Splendor Hotel Taichung,,,,,,,,,,,,,,,,,,
裕元花園酒店,447,"10,292",75.91%,"3,537","36,403,893","78,375,007","128,711,970",182,493,63,87,825,,,,,,
Windsor Hotel,,,,,,,,,,,,,,,,,,
台中港酒店,600,"12,328",67.74%,"1,708","21,051,769","18,413,340","41,595,646",98,126,54,31,309,,,,,,
Taichung Harbor Hotel,,,,,,,,,,,,,,,,,,
總計,"4,458","85,067",62.91%,"2,688","228,663,612","385,345,226","712,205,429","1,451","2,493",732,512,"5,188",,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,花蓮地區 Hualien,,資料期間：,,2016年1月至2016年3月(Data for 2016/1∼2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
花蓮亞士都飯店,501,"7,125",46.88%,"1,429","10,184,764","2,342,200","12,633,516",58,38,24,0,120,,,,,,
Astar Hotel,,,,,,,,,,,,,,,,,,
統帥大飯店,810,"11,651",47.42%,"1,556","18,124,601","19,103,530","38,823,750",98,182,74,16,370,,,,,,
Marshal Hotel,,,,,,,,,,,,,,,,,,
花蓮翰品酒店,591,"11,103",61.93%,"2,198","24,409,414","40,991,435","68,565,521",173,225,71,0,469,,,,,,
Hualien Chateau de Chine Hotel,,,,,,,,,,,,,,,,,,
美侖大飯店,"1,029","19,945",63.90%,"2,477","49,408,825","38,657,381","91,477,530",232,388,30,197,847,,,,,,
Parkview Hotel,,,,,,,,,,,,,,,,,,
遠雄悅來大飯店,"1,143","16,667",48.07%,"3,980","66,338,616","36,173,162","114,168,347",285,295,122,264,966,,,,,,
"Farglory Hotel, Hualien",,,,,,,,,,,,,,,,,,
總計,"4,074","66,491",53.80%,"2,534","168,466,220","137,267,708","325,668,664",846,"1,128",321,477,"2,772",,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
列印日期：,2016/5/2,風景區 Scenic Area,,資料期間：,,2016年1月至2016年3月(Data for 2016/1∼2016/3),,,,,,,,,,,,
,住用及營收概況,,,,,各部門職工概況(No. of Employees),,,,,,,,,,,,
旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
陽明山中國麗緻大飯店,141,"2,743",64.13%,"5,127","14,064,097","9,092,606","31,205,145",40,44,27,50,161,,,,,,
Hotel Landis China Yangmingshan,,,,,,,,,,,,,,,,,,
高雄圓山大飯店,321,"6,480",66.55%,"2,127","13,780,668","41,627,203","60,078,126",87,237,42,135,501,,,,,,
Grand Hotel Kaohsiung,,,,,,,,,,,,,,,,,,
礁溪老爺大酒店,579,"14,343",81.67%,"7,500","107,579,615","69,665,803","203,453,523",272,381,198,109,960,,,,,,
Hotel Royal Chiao-His,,,,,,,,,,,,,,,,,,
涵碧樓大飯店,288,"6,744",77.20%,"11,838","79,833,502","20,752,338","106,061,655",144,210,58,325,737,,,,,,
The Lalu Sun Moon Lake,,,,,,,,,,,,,,,,,,
雲品溫泉酒店日月潭,633,"14,232",74.12%,"8,273","117,745,978","64,903,229","196,603,329",295,417,177,91,980,,,,,,
Fleur De Chine Hotel,,,,,,,,,,,,,,,,,,
日月行館,276,"2,894",34.57%,"12,751","36,902,114","16,994,531","55,555,776",63,105,48,49,265,,,,,,
Wen Wan Hotel & Resorts,,,,,,,,,,,,,,,,,,
凱撒大飯店,843,"22,512",88.04%,"4,820","108,510,132","35,347,543","152,523,502",300,246,111,175,832,,,,,,
Caesar Park Hotel Kenting,,,,,,,,,,,,,,,,,,
墾丁福華渡假飯店,"1,374","30,750",73.78%,"3,219","98,981,431","40,056,734","147,412,561",388,211,127,262,988,,,,,,
